X,Q02-X,Q03-X,Q04-X,Q05-LX,X,X,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,X,X,Q16-X,Q17-X,Q18-X,Q19-X,X
X,P02-X,P03-X,P04-X,P05-X,X,X,P07,P08,P09,P10,P11,P12,P13,P14-L,X,X,P16-X,P17-X,P18-X,P19-LX,X
O01-X,O02-X,O03-X,O04-X,O05-LX,X,O06,O07,O08,O09,O10,O11,O12,O13,O14-X,O15-X,X,O16-X,O17-X,O18-X,O19-X,O20-L
N01,N02,N03,N04,N05,X,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15-L,X,N16,N17,N18,N19,N20-L
M01,M02,M03,M04,M05-L,X,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,X,M16,M17,M18,M19,M20-L
L01,L02,L03,L04,L05,X,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15-L,X,L16,L17,L18,L19,L20-X
K01,K02,K03,K04,K05-L,X,K06,K07,K08,K09,K10,K11,K12,K13,K14,K15,X,K16,K17,K18,K19,K20-L
J01,J02,J03,J04,J05,X,J06,J07,J08,J09,J10,J11,J12,J13,J14,J15-L,X,J16,J17,J18,J19,J20-L
X,I02,I03,I04,I05-L,X,I06,I07,I08,I09,I10,I11,I12,I13,I14,I15,X,I16,I17,I18,I19-L,X
X,H02,H03,H04,H05,X,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15-L,X,H16,H17,H18,H19-L,X
G01,G02,G03,G04,G05-L,X,G06,G07-X,G08,G09,G10,G11,G12,G13,G14,G15,X,G16,G17,G18,G19,G20-L
F01,F02,F03,F04,F05,X,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15-L,X,F16,F17,F18,F19,F20-L
E01,E02,E03,E04,E05-L,X,E06,E07,E08,E9-X,E10,E11,E12,E13,E14,E15,X,E16,E17,E18,E19,E20-L
D01,D02,D03,D04,D05,X,D06,D07,D08,D09,D10,D11,D12,D13,D14,D15-L,X,D16,D17,D18,D19,D20-L
C01,C02,C03,C04,C05-L,X,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,X,C16,C17,C18,C19,C20-L
B01,B02,B03,B04,B05,X,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15-L,X,B16,B17,B18,B19,B20-L
X,A02-X,A03-X,A04-X,A05-L,X,A06-X,A07-X,A08-X,A09-X,A10-X,A11-X,A12-X,A13-X,A14-X,A15-X,X,A16-X,A17-X,A18-X,A19-L,X
